OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean	taxonomy
4307094	1.88988140657	0.169215298427	1.0	1.0	2.96097560976	7.42256637168	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
158440	1.85960669151	0.172670200562	1.0	1.0	0.0487804878049	1.95796460177	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4481613	1.84605544014	0.174242867855	1.0	1.0	12.8536585366	6.80309734513	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens
4368575	1.8193616933	0.17738927493	1.0	1.0	1.71463414634	5.33185840708	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
229533	1.811217856	0.17836220564	1.0	1.0	0.475609756098	3.02433628319	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
787049	1.81115348165	0.178369920844	1.0	1.0	3.0243902439	0.475663716814	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
326626	1.78228798192	0.181868626247	1.0	1.0	7.69268292683	3.24336283186	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
246717	1.78002333446	0.182146461127	1.0	1.0	3.10243902439	0.526548672566	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__
7061	1.77650329871	0.182579288087	1.0	1.0	0.0170731707317	1.76327433628	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
4468466	1.75920494152	0.184723715023	1.0	1.0	17.0487804878	25.7455752212	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4476780	1.74657060892	0.186308436058	1.0	1.0	21.9634146341	31.6592920354	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
4397200	1.74281115988	0.186783028054	1.0	1.0	0.743902439024	3.50442477876	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
1146530	1.71229635277	0.190687701346	1.0	1.0	1.61707317073	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__
4338745	1.69723455246	0.192650034803	1.0	1.0	1.77804878049	0.0353982300885	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__
4480359	1.69102970816	0.193465286588	1.0	1.0	62.6780487805	48.9269911504	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
2771891	1.67973494242	0.19495967615	1.0	1.0	25.7341463415	17.2190265487	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
519979	1.65800688671	0.197872645	1.0	1.0	0.10487804878	1.97787610619	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4341816	1.63588095342	0.200891555823	1.0	1.0	2.9756097561	0.535398230088	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__; s__
4471854	1.63124371514	0.201531111553	1.0	1.0	43.7804878049	32.6017699115	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
321735	1.62582322686	0.202281729644	1.0	1.0	0.0	1.55088495575	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
706432	1.61274562225	0.204106281323	1.0	1.0	0.0268292682927	1.67699115044	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
183650	1.60667811463	0.204959386148	1.0	1.0	0.99512195122	3.82522123894	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
531928	1.59441969945	0.206695816881	1.0	1.0	6.1243902439	2.39601769912	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
